source,target,interaction,evidence,confidence,source_name_unicode,source_name_ascii,target_name_unicode,target_name_ascii
Q41105,Q3519204,teacher_of,infobox:students,medium,Gichin Funakoshi,Gichin Funakoshi,Tetsuji Murakami,Tetsuji Murakami
Q41105,Q7561025,teacher_of,infobox:students,medium,Gichin Funakoshi,Gichin Funakoshi,Song Moo Kwan,Song Moo Kwan
Q41105,Q356335,teacher_of,infobox:students,medium,Gichin Funakoshi,Gichin Funakoshi,Choi Hong-hi,Choi Hong-hi
Q41105,Q716133,teacher_of,infobox:students | infobox:teacher,medium,Gichin Funakoshi,Gichin Funakoshi,Keinosuke Enoeda,Keinosuke Enoeda
Q628761,Q3317210,teacher_of,infobox:students | wikidata:P802,high,Gigō Funakoshi,Gigo Funakoshi,Mitsusuke Harada,Mitsusuke Harada
Q628761,Q1360025,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gigō Funakoshi,Gigo Funakoshi,Taiji Kase,Taiji Kase
Q628761,Q9096235,teacher_of,infobox:students,medium,Gigō Funakoshi,Gigo Funakoshi,Won Kuk Lee,Won Kuk Lee
Q628761,Q294548,teacher_of,infobox:students | infobox:teacher,medium,Gigō Funakoshi,Gigo Funakoshi,Mas Oyama,Mas Oyama
Q628761,Q1246030,teacher_of,infobox:students,medium,Gigō Funakoshi,Gigo Funakoshi,Shigeru Egami,Shigeru Egami
Q628761,Q384558,teacher_of,infobox:students | infobox:teacher,medium,Gigō Funakoshi,Gigo Funakoshi,Masatoshi Nakayama,Masatoshi Nakayama
Q628761,Q124766,teacher_of,infobox:students | infobox:teacher,medium,Gigō Funakoshi,Gigo Funakoshi,Hidetaka Nishiyama,Hidetaka Nishiyama
Q268880,Q3898157,teacher_of,infobox:students | wikidata:P802,high,Gōgen Yamaguchi,Gogen Yamaguchi,Paul Starling,Paul Starling
Q268880,Q7040172,teacher_of,wikidata:P802,high,Gōgen Yamaguchi,Gogen Yamaguchi,Nisar Smiler,Nisar Smiler
Q268880,Q7808402,teacher_of,wikidata:P802,high,Gōgen Yamaguchi,Gogen Yamaguchi,Tino Ceberano,Tino Ceberano
Q268880,Q294548,teacher_of,infobox:students | infobox:teacher,medium,Gōgen Yamaguchi,Gogen Yamaguchi,Mas Oyama,Mas Oyama
Q268880,Q1738762,teacher_of,infobox:students | infobox:teacher,medium,Gōgen Yamaguchi,Gogen Yamaguchi,Kenji Kurosaki,Kenji Kurosaki
Q268880,Q115091,teacher_of,infobox:students,medium,Gōgen Yamaguchi,Gogen Yamaguchi,Peter Urban,Peter Urban
Q294548,Q5361556,teacher_of,wikidata:P1066 | wikidata:P802,high,Mas Oyama,Mas Oyama,Hajime Kazumi,Hajime Kazumi
Q11486455,Q5361556,teacher_of,infobox:teacher | wikidata:P1066,high,Tsuyoshi Hiroshige,Tsuyoshi Hiroshige,Hajime Kazumi,Hajime Kazumi
Q11449231,Q5361556,teacher_of,wikidata:P1066,high,Kenji Ushiro,Kenji Ushiro,Hajime Kazumi,Hajime Kazumi
Q3115887,Q5361556,teacher_of,text_context:teacher_keyword,low,Kenji Midori,Kenji Midori,Hajime Kazumi,Hajime Kazumi
Q294548,Q920672,teacher_of,infobox:teacher | wikidata:P1066 | wikidata:P802,high,Mas Oyama,Mas Oyama,Hatsuo Royama,Hatsuo Royama
Q11365653,Q920672,teacher_of,wikidata:P1066,high,Hideo Nakamura,Hideo Nakamura,Hatsuo Royama,Hatsuo Royama
Q1494112,Q920672,teacher_of,infobox:teacher,medium,Ken'ichi Sawai,Kenichi Sawai,Hatsuo Royama,Hatsuo Royama
Q920672,Q11472844,teacher_of,text_context:student_keyword,low,Hatsuo Royama,Hatsuo Royama,Hiroto Okazaki,Hiroto Okazaki
Q124766,Q348074,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Hidetaka Nishiyama,Hidetaka Nishiyama,Hiroshi Shirai,Hiroshi Shirai
Q6078918,Q124766,teacher_of,infobox:teacher,medium,Isao Obata,Isao Obata,Hidetaka Nishiyama,Hidetaka Nishiyama
Q384558,Q124766,teacher_of,infobox:students | infobox:teacher,medium,Masatoshi Nakayama,Masatoshi Nakayama,Hidetaka Nishiyama,Hidetaka Nishiyama
Q124766,Q15987280,teacher_of,infobox:students,medium,Hidetaka Nishiyama,Hidetaka Nishiyama,James Yabe,James Yabe
Q124766,Q6183244,teacher_of,infobox:students,medium,Hidetaka Nishiyama,Hidetaka Nishiyama,Jerry Bell,Jerry Bell
Q124766,Q179743,teacher_of,infobox:students,medium,Hidetaka Nishiyama,Hidetaka Nishiyama,Bringing Up Baby,Bringing Up Baby
Q124766,Q470591,teacher_of,infobox:students,medium,Hidetaka Nishiyama,Hidetaka Nishiyama,John Saxon,John Saxon
Q294548,Q919033,teacher_of,infobox:teacher | wikidata:P1066 | wikidata:P802,high,Mas Oyama,Mas Oyama,Hideyuki Ashihara,Hideyuki Ashihara
Q919033,Q2636225,teacher_of,infobox:students | wikidata:P802,high,Hideyuki Ashihara,Hideyuki Ashihara,Kazuyoshi Ishii,Kazuyoshi Ishii
Q919033,Q562887,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Hideyuki Ashihara,Hideyuki Ashihara,Jōkō Ninomiya,Joko Ninomiya
Q560761,Q919033,teacher_of,infobox:teacher,medium,Jon Bluming,Jon Bluming,Hideyuki Ashihara,Hideyuki Ashihara
Q15987228,Q6869269,teacher_of,wikidata:P802,high,Higa Yuchoku,Higa Yuchoku,Minoru Higa,Minoru Higa
Q221121,Q15987228,teacher_of,infobox:teacher,medium,Chōjun Miyagi,Chojun Miyagi,Higa Yuchoku,Higa Yuchoku
Q471629,Q6742556,teacher_of,wikidata:P802,high,Hirokazu Kanazawa,Hirokazu Kanazawa,Malcolm Phipps,Malcolm Phipps
