id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,family,generation,n_students,n_descendants,connected,honours,legendary,added_by_research,wikipedia_url
A0004,T'ung Gee Hsing,,,,,,,kung-fu|shuri-te|kenpo,kung-fu,chinese,0,1,3,yes,,,yes,
N0122,T. Omiya,,,,,,,,,,15,0,0,yes,,,yes,
A0018,Tachimura no Peichin,,,1814,1899,,,shuri-te|te|kishimoto-di,shuri-te,shuri-te,4,1,13,yes,,,yes,
C00334,Tadahiko Otsuka,大塚忠彦,,1940,2012,,,karate-generic|goju-kensha,goju-kensha,naha-te,19,0,0,yes,,,,
A0149,Tadao Okuyama,,,,,,,shotokan|shotokai,shotokan,japanese,0,2,4,yes,,,yes,
C00335,Tadashi Nakagawa,,,,,,,karate-generic,karate-generic,other,15,0,0,yes,,,,
Q706955,Tadashi Nakamura,中村忠,,1942,2019,1967,,te|seido-juku,seido-juku,kyokushin,17,2,13,yes,,,,https://en.wikipedia.org/wiki/Tadashi_Nakamura
Q2025214,Tadashi Yamashita,,,1942,,1967,,kobayashi-shorin-ryu|matayoshi-kobudo|shorin-ryu|okinawan-kobudo|karate-generic|kung-fu,kobayashi-shorin-ryu,shuri-te,17,1,1,yes,,,,https://en.wikipedia.org/wiki/Tadashi_Yamashita
Q1360025,Taiji Kase,加瀬泰治,,1929,2004,1954,,shotokan|karate-generic|japanese-karate-generic|te|kase-ha,shotokan,japanese,16,7,21,yes,,,,https://en.wikipedia.org/wiki/Taiji_Kase
C00564,Taitei Kojo,湖城大禎,,1837,1917,,,karate-generic|kojo-ryu,kojo-ryu,te,3,3,849,yes,,,,
Q1336547,Takahara Peichin,高原親雲上,Pēchin Takahara,1684,1760,1709,Shuri,chuan-fa|japanese-karate-generic|karate-generic|te,chuan-fa,chinese,2,1,998,yes,,yes,,https://en.wikipedia.org/wiki/Peichin_Takahara
A0159,Takaji Shimizu,清水隆次,,1896,1978,,,shinto-muso-ryu|nihon-kobudo,shinto-muso-ryu,other,0,2,2,yes,,,yes,https://en.wikipedia.org/wiki/Takaji_Shimizu
J0133,Takamasa Tomoyose,友寄隆正,,,,,,kenyu-ryu,kenyu-ryu,japanese,13,1,10,yes,,,yes,
W0008,Takamura Seiko,,,,,,,,,,15,0,0,yes,,,yes,
