inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
,246,Q6426547,Kokan Oyadomari,親泊興寛,1827,1905,,tomari-te,246,4,1,82,7,4,3,
,243,C00195,Maeda Pechin,真栄田親雲上,,,,other,243,2,1,82,7,1,5,
,243,Q99517310,Chofu Kyan,喜屋武朝扶,1839,1910,,te,243,2,1,82,7,1,5,
,241,Q2393877,Chotoku Kyan,喜屋武朝徳,1870,1945,,shuri-te,241,13,10,82,6,8,12,
,223,Q3482287,Shinpan Gusukuma,城間真繁,1890,1954,,shuri-te,223,9,6,78,7,3,11,
,220,Q628761,Gigo Funakoshi,船越義豪,1906,1945,,japanese,220,10,6,63,5,1,9,
,186,C00025,Chojo Oshiro,大城朝恕,1887,1935,,other,186,7,6,73,7,2,5,
yes,0,C00150,Jinsei Kamiya,神谷仁清,1894,1964,,other,170,1,1,66,5,1,9,
yes,0,KN005,Kanegawa Gimu,兼川,1862,1921,,kobudo,170,1,1,66,5,0,0,
,169,Q723832,Shinken Taira,平信賢,1897,1970,,kobudo,169,17,12,65,4,5,17,Hanshi 10th dan — Okinawa Karate News register (2018)
,126,Q722028,Kentsu Yabu,屋部憲通,1866,1937,,shuri-te,126,8,5,56,5,3,9,
,123,N0155,Ansei Misato,,,,,other,123,2,2,55,6,0,0,
,122,Q557301,Ankichi Arakaki,新垣安吉,1899,1927,,te,122,4,3,55,5,5,20,
,121,Q7447367,Seko Higa,比嘉世幸,1898,1966,,naha-te,121,36,17,43,4,2,13,
yes,0,A0218,Takeo Maruta,丸田武雄,,,,naha-te,100,1,1,38,5,0,0,
,99,Q268880,Gogen Yamaguchi,山口剛玄,1909,1989,,naha-te,99,13,6,38,4,2,9,
,99,Q6078918,Isao Obata,小畑功,1904,1976,,japanese,99,6,5,30,4,1,9,
,98,C00261,Kodatsu Iha,伊波興達,1873,1928,,tomari-te,98,5,3,36,4,1,5,
,92,C00350,Taro Shimabuku,島袋太郎,,,,other,92,3,2,35,4,3,9,
,91,Q6782517,Masami Chinen,知念正美,1898,1976,,shuri-te,91,6,4,35,6,3,8,
,90,C00024,Chojin Kuba,久場長仁,1904,1989,,other,90,2,2,34,4,1,2,
yes,0,C00223,Keisei Okamoto,,,,,other,90,1,1,34,4,0,0,
yes,0,C00549,Sogen Sakiyama,,,,,other,90,1,1,34,4,1,9,
yes,0,N0008,Aji Tanmei Iha,,,,,other,90,1,1,34,4,0,0,
yes,0,N0158,Tanouye Rotaishi,,,,,other,90,1,1,34,4,0,0,
,89,Q1963468,Shoshin Nagamine,長嶺将真,1907,1997,,shuri-te,89,45,14,34,3,11,13,Hanshi 10th dan — Okinawa Karate News register (2018)
yes,0,A0217,So Nei Chu,曹寧柱,1908,,,naha-te,84,1,1,31,4,1,7,
yes,0,A0228,So Nei-chu,曺寧柱,1908,1996,,naha-te,84,1,1,31,4,0,0,
