inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
,0,Q7677342,Takashi Kushida,串田誉司,1935,2012,,te,0,0,0,0,0,1,6,
,0,C00002,Akio Kinjo,金城昭夫,1936,,,other,0,0,0,0,0,3,11,
,0,Q550492,Dan Inosanto,,1936,,,kenpo,0,0,0,0,0,1,6,
,0,R0003,Hiroshi Murata,,1936,2019,,japanese,0,0,0,0,0,1,6,
,0,R0047,Hiroyuki Aoki,,1936,,,japanese,0,0,0,0,0,1,5,
,0,Q470591,John Saxon,,1936,2020,,japanese,0,0,0,0,0,1,5,
,0,R0023,Kyoshin Kayo,,1936,,,japanese,0,0,0,0,0,3,13,
,0,J0016,Nakazone Kinei (Nakasone Kinei),ナカゾネ キンエイ,1936,2002,,naha-te,0,0,0,0,0,2,5,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,Q29043185,Norman Robinson,,1936,2025,,te,0,0,0,0,0,3,9,
,0,Q29043333,Stan Schmidt,,1936,2019,,japanese,0,0,0,0,0,1,7,
,0,J0026,Tōyama Zenshū,當山全秋,1936,,,naha-te,0,0,0,0,0,1,5,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,A0036,Doug Perry,,1937,,,shuri-te,0,0,0,0,0,1,6,
,0,R0035,Katsuya Kisaka,,1937,,,japanese,0,0,0,0,0,2,8,
,0,J0039,Yoshitsune Senaga,瀬長義常,1937,,,uechi-ryu,0,0,0,0,0,5,13,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,Q4785266,Arcenio James Advincula,,1938,,,shuri-te,0,0,0,0,0,1,10,
,0,Q5294533,Donald Hugh Nagle,,1938,1999,,shuri-te,0,0,0,0,0,1,10,
,0,J0017,Giyu Gibo,儀保宜裕,1938,,,shuri-te,0,0,0,0,0,2,8,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,R0045,Kenneth Funakoshi,,1938,2024,,other,0,0,0,0,0,5,11,
,0,A0179,Rhee Ki-ha,이기하,1938,,,korean,0,0,0,0,0,1,8,
,0,A0059,Robert Scaglione,,1938,,,shuri-te,0,0,0,0,0,2,8,
,0,Q6519507,Shunji Watanabe,渡辺俊二,1938,,,shuri-te,0,0,0,0,0,1,6,
,0,Q4023282,Yutaka Toyama,富山豊,1938,,,japanese,0,0,0,0,0,1,10,
,0,Q5176649,Count Dante,,1939,1975,,chinese,0,0,0,0,0,1,7,
,0,Q6378081,Katsuhiko Shinzato,新里勝彦,1939,,,shuri-te,0,0,0,0,0,4,11,
,0,C00247,Kichiro Shimabuku,島袋吉郎,1939,,,shuri-te,0,0,0,0,0,1,10,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,R0217,Kim Pyung-soo,,1939,,,korean,0,0,0,0,0,3,4,
,0,Q7143413,Pat E Johnson,,1939,2023,,chinese,0,0,0,0,0,1,10,
,0,Q2079584,Robert Wall,,1939,2022,,kyokushin,0,0,0,0,0,1,10,
,0,A0010,Shinyu Gushi,,1939,2012,,uechi-ryu,0,0,0,0,0,4,5,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,R0040,Shiro Asano,,1939,2026,,japanese,0,0,0,0,0,2,8,
,0,R0104,Yasuharu Makishi,,1939,2013,,shuri-te,0,0,0,0,0,1,6,
,0,A0182,Choi Chang-keun,최창근,1940,,,korean,0,0,0,0,0,1,8,
,0,A0136,Gosen Yamaguchi,,1940,1990,,naha-te,0,0,0,0,0,1,7,
,0,Q896129,Hideo Ochi,越智秀男,1940,,,japanese,0,0,0,0,0,3,8,
,0,Q95043,James Caan,,1940,2022,,japanese,0,0,0,0,0,1,4,
,0,A0225,Kiyoshi Yamazaki,,1940,2023,,japanese,0,0,0,0,0,1,7,
,0,Q6830460,Michael G Foster,,1940,2021,,japanese,0,0,0,0,0,1,2,
,0,R0210,Myung Kwang-sik,,1940,2009,,korean,0,0,0,0,0,1,0,
,0,Q130739281,Naonobu Ahagon,阿波根直信,1940,,,shuri-te,0,0,0,0,0,2,12,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,Q7373534,Roy Y. Suenaka,,1940,2020,,shuri-te,0,0,0,0,0,1,7,
,0,J0009,Seiki Takushi,澤岻政輝,1940,,,naha-te,0,0,0,0,0,1,1,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,R0185,Shane Higashi,,1940,,,japanese,0,0,0,0,0,2,12,
,0,C00334,Tadahiko Otsuka,大塚忠彦,1940,2012,,naha-te,0,0,0,0,0,2,11,
