node_id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,connected,generation,legendary,added_by_research,wikipedia_url
A0059,Robert Scaglione,,,1938,,,,matsubayashi-ryu|ueshiro-shorin-ryu,matsubayashi-ryu,yes,15,,yes,
A0060,Terry Maccarrone,,,,,,,matsubayashi-ryu,matsubayashi-ryu,yes,14,,yes,
A0061,Joseph Carbonara,,,,,,,matsubayashi-ryu,matsubayashi-ryu,yes,14,,yes,
A0062,Jerry Figgiani,,,,,,,matsubayashi-ryu,matsubayashi-ryu,yes,15,,yes,
A0063,Masao Shima,,,,,,,matsubayashi-ryu,matsubayashi-ryu,yes,13,,yes,
A0064,Eihachi Ota,,,1945,,,,matsubayashi-ryu|okinawan-kobudo,matsubayashi-ryu,yes,14,,yes,
A0065,Takaya Yabiku,,,,,,,matsumura-seito|okinawan-kobudo,matsumura-seito,yes,7,,yes,
A0066,Yuichi Kuda,,,1928,1999,,,matsumura-seito|okinawa-kenpo|okinawan-kobudo|matsumura-kenpo,matsumura-seito,yes,13,,yes,
A0067,Tomosada Kuda,,,1950,,,,matsumura-seito|okinawan-kobudo|matsumura-kenpo,matsumura-seito,yes,14,,yes,
A0068,Isao Kise,喜瀬功,Isao Kise,1957,2025,,,matsumura-seito|okinawan-kobudo|kenshinkan,matsumura-seito,yes,14,,yes,
A0069,Seizan Kinjo,,,,,,,matsumura-seito,matsumura-seito,yes,14,,yes,
A0070,Ronald Lindsey,,,1945,2023,,,matsumura-seito|okinawan-kobudo,matsumura-seito,yes,15,,yes,
A0071,James Coffman,,,1943,,,,matsumura-seito,matsumura-seito,yes,14,,yes,
A0072,Nobutake Shingake,,,,,,,okinawan-karate-generic,okinawan-karate-generic,yes,0,,yes,
A0073,Giuseppe Meloni,,,,,,,matsumura-seito,matsumura-seito,yes,8,,yes,
A0074,Ricky Rose,,,,,,,matsumura-seito,matsumura-seito,yes,8,,yes,
A0075,Theodore Lange,,,,,,,matsumura-seito,matsumura-seito,yes,8,,yes,
A0076,Steve Watson,,,,,,,matsumura-seito,matsumura-seito,yes,8,,yes,
A0077,Richard Boyden,,,,,,,matsumura-seito,matsumura-seito,yes,8,,yes,
A0078,Chojiro Tani,谷長治郎,,1921,1998,,,shukokai|shito-ryu|goju-ryu,shukokai,yes,10,,yes,https://en.wikipedia.org/wiki/Ch%C5%8Djir%C5%8D_Tani
A0079,Shigeru Kimura,木村茂,Kimura Shigeru,1941,1995,,,shukokai|shito-ryu|kimura-shukokai,shukokai,yes,11,,yes,
A0080,Haruyoshi Yamada,,,,,,,shukokai|shito-ryu|yamada-ha-shito-ryu-shukokai,shukokai,yes,11,,yes,
A0081,Eddie Daniels,,,,,,,shukokai|shito-ryu|kimura-shukokai,shukokai,yes,12,,yes,
A0082,Bill Bressaw,,,,,,,shukokai|shito-ryu|kimura-shukokai,shukokai,yes,12,,yes,
A0083,Chris Thompson,,,,,,,shukokai|shito-ryu|kimura-shukokai,shukokai,yes,12,,yes,
A0084,Lionel Marinus,,,,,,,shukokai|shito-ryu|kimura-shukokai,shukokai,yes,12,,yes,
A0085,Sadaaki Sakagami,坂上節明,,1942,,,,itosu-ryu|shito-ryu|ryukyu-kobudo,itosu-ryu,yes,13,,yes,
A0086,Seiko Suzuki,,,1936,,,,shito-ryu|seiko-kai,shito-ryu,yes,13,,yes,
A0087,Kei Tsumura,,,,,,,shito-ryu|itosu-ryu,shito-ryu,yes,13,,yes,
A0088,Akio Minakami,,,1948,,,,hayashi-ha-shito-ryu|shito-ryu,hayashi-ha-shito-ryu,yes,16,,yes,https://en.wikipedia.org/wiki/Akio_Minakami
